paired quenched-3D damping check: L=12, E=120000 x 2 launches, q=0.08, T=6  (GPU=True)
 [gate PASSED] g=0 known answer: max|Z_B - Z_A| = 0.0 (exact)

 g = 0.3  (evolve 34s)   law per cycle = 0.99616
   t  |rho| wmean    law^t  k-spread  arg(rho)  n_k
   1      0.99669  0.99616   0.00000   0.00001    6
   2      1.01121  0.99233   0.00063   0.00129    6
   3      0.99937  0.98852   0.00000   0.02473    1
   4      0.96057  0.98473   0.00569   0.00575    6
   5      0.96859  0.98095   0.00147   0.00157    6
   6      0.99895  0.97718   0.00037   0.00149    6

 g = 0.6  (evolve 35s)   law per cycle = 0.99232
   t  |rho| wmean    law^t  k-spread  arg(rho)  n_k
   1      0.99299  0.99232   0.00000   0.00001    6
   2      1.01586  0.98470   0.00108   0.00225    6
   3      1.00847  0.97714   0.00000   0.07290    1
   4      0.91063  0.96963   0.01121   0.01455    6
   5      0.93459  0.96219   0.00266   0.00574    6
   6      0.96786  0.95480   0.00059   0.00231    6
